DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
04-06-2012,338.9,348.13,336.75,346.33,468871,13397
05-06-2012,348.3,352.8,347.5,351.13,423585,9897
06-06-2012,353.4,357.5,349.2,357.05,516767,14298
07-06-2012,360.13,365.95,358.13,360.35,957397,27353
08-06-2012,359.5,365.98,356.35,364.7,532752,14827
11-06-2012,366.5,368.25,359,360.75,491541,13200
12-06-2012,357.85,362.9,357,361.3,338316,9945
13-06-2012,361.7,362.13,356.45,358.25,313111,9539
14-06-2012,358,360.48,355.4,357.78,217014,7001
15-06-2012,359.45,364.7,359.05,363.3,315721,8998
18-06-2012,365,367.28,356.48,359.35,292571,8961
19-06-2012,358.95,369.45,358.5,368.63,414855,11605
20-06-2012,368.53,371.25,366.58,368.8,295845,9009
21-06-2012,367.48,367.48,355.53,359.3,866237,23290
22-06-2012,357,357.5,351.98,355.53,631199,17430
25-06-2012,357.5,361.45,356.15,358.1,429418,12307
26-06-2012,358.68,362.8,357.25,361.88,320825,10247
27-06-2012,363,364.3,358.95,361.45,229204,7646
28-06-2012,361.5,363.85,358.3,359.68,222915,6192
29-06-2012,362.5,370.4,362.5,368.73,414353,11985
02-07-2012,368.05,370.48,365.3,368.73,194295,6341
03-07-2012,370.38,371.45,365.65,368,256066,7250
04-07-2012,369.5,370,364.53,367.03,250734,8910
05-07-2012,367.95,371.1,365.9,369.25,229264,6930
06-07-2012,369.5,369.5,364.83,367.15,257525,6810
09-07-2012,364,366.83,363.05,366.03,197262,5386
10-07-2012,365.4,370.8,364.05,369.75,181952,5752
11-07-2012,367.5,368.53,361.08,362.85,383506,9935
12-07-2012,361.3,364.75,358.73,360.6,289043,8730
13-07-2012,360.13,363.2,357.5,359.38,214560,6274
16-07-2012,359.5,362.15,357.75,360.15,248694,5649
17-07-2012,362.5,363.93,358.65,359.58,268811,6072
18-07-2012,359.98,360.93,356.3,357.68,220319,6275
19-07-2012,360.43,364.6,359,363.88,223867,7076
20-07-2012,362.3,364.43,358.73,361.33,285736,8963
23-07-2012,356.85,362.5,356.58,359.38,300769,8577
24-07-2012,359.18,363.15,359.08,362.28,225233,5186
25-07-2012,361,361.13,356.25,359.35,284616,6545
26-07-2012,360.58,360.95,353.65,355.15,215499,5374
27-07-2012,358.08,362.68,357.78,360.2,252129,8606
30-07-2012,361.03,365.83,361,364.63,185825,5594
31-07-2012,365.88,372.5,360.7,371.43,405467,10011
01-08-2012,370.5,375.4,369.5,372.73,423510,10274
02-08-2012,371.48,373.7,368.23,369.73,194298,5341
03-08-2012,368,374,365.25,371.45,273355,7084
06-08-2012,372.78,394.45,372.78,392.65,1452252,34820
07-08-2012,393,397.85,389.08,391.85,843029,24038
08-08-2012,392.5,399.68,391.5,395.33,612536,16435
09-08-2012,394.3,398.1,388.35,390.15,387677,9997
10-08-2012,388.55,394.73,387.25,391.03,361044,8809
13-08-2012,390.18,395,389.98,393.75,412449,6190
14-08-2012,392.7,401.05,392.7,399.38,825931,12387
16-08-2012,401,410.48,399.48,407.53,594745,19364
17-08-2012,409.05,412.48,404.8,407.55,491553,11811
21-08-2012,407.5,411.83,406.08,407.18,326672,7729
22-08-2012,404.03,407.95,402.9,404.03,281329,7334
23-08-2012,404.8,405.45,393.85,397.23,386265,10099
24-08-2012,395.53,397.2,389.3,391.05,608041,11426
27-08-2012,392.38,398,391.58,393.7,435207,8776
28-08-2012,393.05,397.15,389.28,395.03,379518,8740
29-08-2012,395,398.5,390.25,391.2,251213,8178
30-08-2012,390,392.98,384.1,390.98,421822,10609
31-08-2012,391.75,391.95,381.6,385.98,317048,9407
03-09-2012,385,385.48,380.05,382.13,258229,7908
04-09-2012,382.05,390,381.5,389.28,248215,8166
05-09-2012,386.53,389.75,380.65,385.53,349705,7062
06-09-2012,384.35,387.05,382.03,383.68,241963,6790
07-09-2012,389,398,389,395.5,543180,13378
08-09-2012,396.25,398.95,396.25,397.73,29666,1099
10-09-2012,399.4,401.35,394.53,395.58,185320,5406
11-09-2012,394.05,397.8,391.75,395.18,420006,8529
12-09-2012,396.95,399.95,394.6,398.75,283043,8060
13-09-2012,399.35,404,397,399.13,391687,13680
14-09-2012,405.5,422.35,404.5,420.48,1264773,34900
17-09-2012,424.25,440.5,424.25,436.83,1114016,29688
18-09-2012,435,436.98,425.83,427.6,385359,11714
20-09-2012,420,424,414.08,416.08,295548,9564
21-09-2012,416,427.45,416,424.95,737436,21043
24-09-2012,424.5,428.55,416.45,418.13,495662,14352
25-09-2012,420,422.35,415.25,419.93,430653,11126
26-09-2012,419.5,424.75,416.8,422.05,535933,11762
27-09-2012,422.5,424,412.5,415.1,439566,11421
28-09-2012,419.98,424,417.13,418.35,404264,10281
01-10-2012,420.4,421.25,415,417.28,324788,9361
03-10-2012,417.18,426.28,416.78,423.13,465339,13146
04-10-2012,425.03,429.25,424.53,426.38,364519,8573
05-10-2012,428.1,430.2,421.5,428.7,468340,13231
08-10-2012,428,428,408.1,409.35,739002,20302
09-10-2012,412,413.45,406.63,407.7,464582,13122
10-10-2012,406,411,403.63,408.08,365066,10600
11-10-2012,408.25,410.9,404.53,409.75,366566,10534
12-10-2012,410.5,413.1,407.88,409.45,390083,8694
15-10-2012,410,414.85,409.5,411.6,500921,12514
16-10-2012,419.5,420,405.23,406.63,1270951,26533
17-10-2012,408.2,408.45,401.05,402.7,605869,13215
18-10-2012,403.45,408,398.5,405.48,563387,15824
19-10-2012,404.18,404.98,399.65,401.6,556766,9083
22-10-2012,398.73,407.93,396.3,407.33,363583,11458
23-10-2012,407.5,407.5,402.75,404.98,636333,9132
25-10-2012,405.83,409.4,403.13,405.15,481968,8564
26-10-2012,402,403.53,396.18,399.5,314691,9470
29-10-2012,401.8,407.1,401.8,405.6,389394,8844
30-10-2012,404.8,405.8,399.7,401.55,428495,8163
31-10-2012,402.5,403.5,399.15,402.63,251928,5663
01-11-2012,396.95,404,394.55,403.53,531471,15181
02-11-2012,405.58,407.28,401.63,403.93,357629,8692
05-11-2012,402.35,404,400.1,402.53,176594,5157
06-11-2012,402,403.48,398.1,402.58,322807,7809
07-11-2012,401.28,402.98,399.18,400.23,454950,6983
08-11-2012,397.13,399.18,395.13,398.3,351592,9336
09-11-2012,397.25,401.78,393,394.3,699328,11943
12-11-2012,392.68,394.73,389.38,393.48,1440487,13269
13-11-2012,395,396.25,391.48,394.83,222883,4959
15-11-2012,394.45,394.45,388.6,392.35,284543,7402
16-11-2012,395,396.38,385.6,387.73,305818,8303
19-11-2012,388,389,381.13,387.13,466837,13924
20-11-2012,390.9,390.9,380.58,382.23,326984,7416
21-11-2012,383.9,386,380.5,385.13,364964,7440
22-11-2012,386.03,386.5,380.98,383.13,237662,7409
23-11-2012,383.43,387.9,383.4,386.55,260063,6913
26-11-2012,387.13,389.75,385.45,386.7,195457,5258
27-11-2012,388.6,394,387,393.1,238776,6490
29-11-2012,391.63,401.5,391.6,398.25,301861,9067
30-11-2012,398.45,403.9,395.28,396.95,423912,11201
03-12-2012,397.85,403.5,394.8,401.85,299397,8764
04-12-2012,402.65,412.5,402.65,411.85,562271,14466
05-12-2012,414,418.5,410.25,415.45,461950,13225
06-12-2012,418,422,410.95,420.83,389085,12115
07-12-2012,420,424.6,415,417.1,345454,11013
10-12-2012,417,419.03,411,413.73,240793,7327
11-12-2012,415.5,418.98,407.63,409.8,247067,7225
12-12-2012,411.7,416.9,409.9,416.08,286526,8415
13-12-2012,416.3,420.15,415.05,416.45,480319,9037
14-12-2012,417,423,414.5,419.6,368829,10536
17-12-2012,417.4,421.93,415.53,416.93,334981,5406
18-12-2012,417.5,419.55,413.05,415.48,218584,6152
19-12-2012,417.7,421.2,417.13,419.68,284229,6275
20-12-2012,420.3,420.5,415,418.53,311617,9289
21-12-2012,416.55,417.05,410.25,411.48,243170,6681
24-12-2012,412.5,413.5,408.08,410,262303,6907
26-12-2012,410.78,417.98,410.78,414,296106,7912
27-12-2012,415,415.85,407.58,409.03,306172,6728
28-12-2012,411.5,422.5,411,420.18,548563,13505
31-12-2012,420.75,424.7,418.28,419.55,347627,7838
01-01-2013,422.38,423,419.6,420.33,334981,5986
02-01-2013,422.5,427.95,421.5,423.88,509928,12250
03-01-2013,424.18,430.98,422.5,430.28,603859,14667
04-01-2013,430.3,432.25,426.85,430.38,337994,8651
07-01-2013,431.8,435.35,425.83,427.58,302313,7758
08-01-2013,427.5,429.08,424,425.18,299450,5972
09-01-2013,426.5,429.58,424.15,425.78,241306,5888
10-01-2013,428.03,429.25,423.53,424.78,268863,6435
11-01-2013,425.28,426.85,418.15,419.63,248535,7137
14-01-2013,419,426.5,419,423.4,205885,5207
15-01-2013,423.6,425.73,419.05,422.93,370947,9467
16-01-2013,423.7,435,423.03,430.2,713337,20762
17-01-2013,431.23,446.55,430.23,444.83,881002,24269
18-01-2013,447.08,451.35,442.65,449.48,784259,23103
21-01-2013,468.08,477.4,459.08,460.03,1165352,35958
22-01-2013,460,465.3,458.1,460.28,517930,13216
23-01-2013,460.75,464.23,458,461.7,427037,9887
24-01-2013,462.5,464.15,453.33,457.18,346805,10084
25-01-2013,457.5,458.8,453,455.95,261548,7880
28-01-2013,455.18,457.4,447.5,448.83,355376,11222
29-01-2013,447.75,450.73,440.03,441.28,377707,12327
30-01-2013,443.18,451.43,443.18,449.53,780212,11161
31-01-2013,450,450,441.78,443.28,255912,7796
01-02-2013,445.5,449.5,441.83,446.73,301168,8709
04-02-2013,447.18,450.3,441.8,443.18,325077,9514
05-02-2013,442,443,437,438.18,268888,7200
06-02-2013,439.58,441.45,435.58,437.45,208377,7377
07-02-2013,435.95,440.75,434.2,435.53,222045,7268
08-02-2013,436,436.93,429,432.1,259400,9507
11-02-2013,432.15,436.95,430.5,433.9,180306,5955
12-02-2013,434.7,439.93,433.1,437.98,221294,7206
13-02-2013,440.5,444,436.75,439.13,313600,6977
14-02-2013,440,441.43,425.13,427.58,255415,11534
15-02-2013,427.5,428.5,417.25,422.43,439048,13058
18-02-2013,422.78,427.3,422.5,423.65,183978,5511
19-02-2013,425.2,427.95,417.53,424.4,274081,10538
20-02-2013,428.18,439.25,428.18,437.68,494510,14402
21-02-2013,434,438.53,426.28,428.38,492857,13189
22-02-2013,429.5,435.95,429,431.33,286448,8932
25-02-2013,432.03,433,425.63,426.98,258325,7861
26-02-2013,424.85,424.85,409.68,411.98,401687,12649
27-02-2013,414.33,420.33,413.5,415.6,343617,11020
28-02-2013,419,419.85,402.9,407.33,733659,19834
01-03-2013,407.65,409,403,404.75,395389,12241
04-03-2013,404.75,408.85,402.25,406.28,307428,8010
05-03-2013,408.75,416.8,408.75,413.15,336036,10514
06-03-2013,415.55,418.93,413.63,417.4,332836,8605
07-03-2013,415,420.45,412.1,417.83,442553,7331
08-03-2013,420.63,426.75,420.03,425.5,289759,9363
11-03-2013,425.5,430.35,420.08,421.85,300067,8376
12-03-2013,425,427.45,421.78,423.75,318038,9270
13-03-2013,421.73,428.15,420,421.93,375542,10151
14-03-2013,422,431.58,417.7,430.33,440405,14439
15-03-2013,431.63,434.5,419.28,421.9,552880,17088
18-03-2013,417,421.63,415,415.8,706114,8928
19-03-2013,417.5,419.85,406.15,412.53,1145984,12995
20-03-2013,415,415,406.63,411.28,815246,13991
21-03-2013,412.68,416.08,402.5,406.78,654149,15445
22-03-2013,404.48,410,402.03,405.4,476865,11055
25-03-2013,410.5,411.48,401.53,404.85,478939,9289
26-03-2013,402.35,402.5,390.55,391.7,497065,15543
28-03-2013,391.8,392,382.5,386.85,1020623,18196
01-04-2013,390.18,395.25,386.88,389.08,270877,9196
02-04-2013,390.4,398.5,389.23,396.98,274185,9092
03-04-2013,399.35,399.55,386.1,388.4,406729,13834
04-04-2013,386.35,388.85,382.5,383.38,406202,11389
05-04-2013,383.68,391,383.1,390.18,329238,10084
08-04-2013,389.35,396.75,389,394.58,254081,8208
09-04-2013,395.68,397.68,386.25,388.18,583865,10004
10-04-2013,390.2,392.4,386.08,390.53,410547,10506
11-04-2013,392.48,392.93,382.5,385.58,452572,13530
12-04-2013,383.18,390.3,382.63,387.65,280273,8397
15-04-2013,387,399.5,386.63,396.78,621148,12503
16-04-2013,399,404.75,393.1,402.25,567929,17117
17-04-2013,402.55,405,385.25,387.05,1169950,30069
18-04-2013,387.25,392.6,386.5,390.9,423512,11841
22-04-2013,392.28,397.08,389.33,394.88,348247,11129
23-04-2013,395.18,402.63,393.25,401.75,538797,13933
25-04-2013,403,413.43,403,409.65,654708,18778
26-04-2013,406.95,412.43,394.9,396.58,455617,14103
29-04-2013,397.5,399.5,394.5,396.3,599045,9393
30-04-2013,397.18,398.35,389,394.08,464440,9410
02-05-2013,393.95,403.4,391.63,401.38,474030,13847
03-05-2013,402,407.7,399,400.6,547342,15321
06-05-2013,401.25,412.35,401.25,410.75,406310,11800
07-05-2013,411,417.83,409.7,413.55,355210,12763
08-05-2013,414.18,416.5,411,414.55,295308,9330
09-05-2013,415,416,407.75,409.05,258208,7868
10-05-2013,406.78,410.25,404.5,406.05,249448,8387
11-05-2013,406.05,407.55,406,406.65,20315,669
13-05-2013,406,412.35,399.3,401.5,380789,11390
14-05-2013,400,404.45,397.75,398.85,268487,8601
15-05-2013,401.75,410.13,401.18,409.4,369418,10695
16-05-2013,408.7,421.68,408,420.08,524207,15319
17-05-2013,420,422.35,411.75,417.2,375465,13029
20-05-2013,417.58,427.4,414.28,415.45,445434,13015
21-05-2013,416,419.75,412.45,413.68,301713,9851
22-05-2013,415.5,417.1,406.75,408.88,295343,8958
23-05-2013,407.5,408.5,390.8,392.58,371812,12475
24-05-2013,396.08,397.5,390,393.95,241453,8279
27-05-2013,401.5,416,401.1,414.13,681398,20102
28-05-2013,415,423.45,412.75,421.58,648158,19447
29-05-2013,421.5,424.5,416.6,423.63,557404,12422
30-05-2013,423.25,423.25,415.25,417.95,369331,9893
31-05-2013,417.5,417.5,401,402.8,489972,14143
03-06-2013,403.5,403.5,392.63,394.05,523709,13658
04-06-2013,395.8,400.23,389.58,390.3,340883,10709
05-06-2013,390.63,401.5,390,400.28,381368,12416
06-06-2013,400.5,401,394.1,396.15,716730,28930
07-06-2013,398.48,401,391,392.3,364413,11616
10-06-2013,394.9,397.45,391.05,394.73,294631,8769
11-06-2013,392.3,395.5,388.25,393.1,325292,10172
12-06-2013,393,398.53,391.5,395.65,476471,10398
13-06-2013,391,396.25,390.5,394.58,275578,7956
14-06-2013,397.5,408.5,397.5,407,448558,14113
17-06-2013,408.2,413.83,405.63,412.55,416709,15448
18-06-2013,412.3,418.45,408.85,411.8,492522,21638
19-06-2013,410.63,416.4,407.75,415.55,447163,17204
20-06-2013,410.5,410.5,397.4,399.6,590242,22300
21-06-2013,400.5,405.25,392.5,396.95,612361,19925
24-06-2013,395.35,398.5,389.6,396.65,697991,20439
25-06-2013,399.5,409.88,397.5,401.9,593374,26621
26-06-2013,404.75,407.28,400.43,401.28,233578,11247
27-06-2013,407.5,417.78,407.18,415.23,627174,48998
28-06-2013,431.5,436.5,422.88,430.93,1015453,34062
01-07-2013,431,442.48,429.93,441.4,558802,23392
02-07-2013,441.5,445.45,434.3,435.65,444388,19477
03-07-2013,430.9,431.98,424.25,425.15,359411,15061
04-07-2013,427,435,424,430.83,486575,17960
05-07-2013,432.68,442.2,432.68,440.1,581038,23038
08-07-2013,435.6,436.9,400,434.15,268745,13483
09-07-2013,434.9,440.75,433.75,436.68,462984,12418
10-07-2013,437.4,439.85,419.7,428.18,595824,23856
11-07-2013,431.55,436.75,429.5,435.2,311611,15297
12-07-2013,436.75,447.5,435,444.8,452404,21560
15-07-2013,442.85,449.55,442.65,447.88,408014,16422
16-07-2013,444,452.15,441.4,450.45,486019,19862
17-07-2013,451.5,459.35,451.5,457.58,755344,38920
18-07-2013,459.9,459.95,454.53,458.53,595565,23872
19-07-2013,458.53,463.95,456.4,461.58,824552,37276
22-07-2013,457.5,457.63,449.45,454.25,407218,20379
23-07-2013,456,462.35,453.58,454.55,319471,13767
24-07-2013,453.18,458.5,447.83,454.3,324469,16372
25-07-2013,453,456.05,442.5,445.43,269426,12157
26-07-2013,446,451.75,442.9,444.95,236772,10518
29-07-2013,444.05,449.5,441.38,442.8,248570,11074
30-07-2013,443.18,446,427.45,429.43,324084,13898
31-07-2013,428.68,438.9,421.5,435.8,388231,17189
01-08-2013,437.68,441,423,425.15,338049,14107
02-08-2013,429,435.95,425,428.73,291775,16678
05-08-2013,429.5,435.95,427.98,430.45,212093,9862
06-08-2013,428.08,431.8,415.08,420.2,285821,12898
07-08-2013,422.53,440.35,415.78,435.5,417290,21304
08-08-2013,434.5,436.43,428.88,432.73,206104,9815
12-08-2013,432.63,435.5,420.25,422.65,249573,10935
13-08-2013,422.58,429.98,417.5,426.18,273062,12707
14-08-2013,429.75,433.83,423.75,432.58,367757,15389
16-08-2013,433,433,409.03,412.58,609608,30070
19-08-2013,410.5,417.03,403.58,409.63,482576,21161
20-08-2013,405.25,414.35,403.13,411.33,395510,16850
21-08-2013,415.65,416.85,389.98,391.93,528122,23905
22-08-2013,392.5,404.15,387.58,402.93,598493,28727
23-08-2013,406,411.85,404.4,409.53,489967,20990
26-08-2013,411,414.9,404.05,410.48,386454,19072
27-08-2013,407.88,412.05,400,401.9,406126,16982
28-08-2013,397.5,409,382.5,405.58,833398,38457
29-08-2013,408.38,426.4,406.55,422.68,537872,29292
30-08-2013,422,429.18,414.13,425.78,446703,20313
02-09-2013,426.15,443.2,426.15,441.88,493065,23034
03-09-2013,443.35,445.38,413.35,415.05,692875,26978
04-09-2013,417.5,431.85,416.55,424.68,540749,26845
05-09-2013,430,434.45,425.75,430.65,573420,15844
06-09-2013,434.5,436.48,421.43,433.78,506060,25766
10-09-2013,436.8,446.05,433.1,444.33,630704,20742
11-09-2013,445.2,446.25,437.5,443.65,474181,22546
12-09-2013,444.08,450,435,436.98,550245,21841
13-09-2013,434.45,441.75,432.63,436.63,310478,14826
16-09-2013,443.75,443.75,426.93,430.83,492635,19948
17-09-2013,429.25,432,426.5,429.05,164136,8492
18-09-2013,430,436.65,428.5,435.23,392770,12870
19-09-2013,442.5,447.78,440,445.53,634296,22716
20-09-2013,443.13,450.45,435,441.3,412929,17110
23-09-2013,435.5,440.45,432.25,437.3,430949,12403
24-09-2013,435.2,442,434.05,437.18,257878,11133
25-09-2013,436,437,421.3,424.35,567724,22923
26-09-2013,424.35,424.73,417.8,419.28,419376,17113
27-09-2013,421.5,426.95,419,420.1,339099,14153
30-09-2013,415.75,422.25,409.53,411.18,374832,15893
01-10-2013,413.4,415.18,409.25,411.15,272814,11917
03-10-2013,412.45,423.95,412.45,423.05,334945,13565
04-10-2013,421,429.63,419.1,426.7,338848,14909
07-10-2013,422.78,426.25,418.33,421.93,288606,12699
08-10-2013,425,427,419.78,421.93,299596,11633
09-10-2013,420.5,433.45,419,430.5,312332,16363
10-10-2013,428.75,431.25,424.13,429.9,349867,16019
11-10-2013,433.5,434,427.55,431.5,413565,19238
14-10-2013,432,437.45,431.55,435.13,409919,23220
15-10-2013,448.13,449.5,431.85,433.35,730850,28366
17-10-2013,434,443.85,432.63,439.65,482216,20237
18-10-2013,441,453.98,440.38,452.68,817942,29477
21-10-2013,452.5,457.5,448.38,456.68,472393,19161
22-10-2013,453.7,455.5,448.9,451.8,352813,13335
23-10-2013,452,454.73,444.28,447.93,267160,12124
24-10-2013,448,454.98,440.5,442.3,354743,18715
25-10-2013,442.7,446.15,439.58,442.93,229472,10265
28-10-2013,443.33,452.3,443.33,445.1,385420,17440
29-10-2013,445.05,451.93,441.25,448.4,260186,12513
30-10-2013,448.5,451.25,447.5,448.8,233638,8365
31-10-2013,450.13,457.9,448.5,456.18,387523,15550
01-11-2013,454.5,462.5,451.55,453.93,390222,15057
03-11-2013,455.45,457.3,453.28,454.25,121419,5580
05-11-2013,452,460.85,452,454.53,314235,13268
06-11-2013,454.5,459.95,447.75,449.35,282497,14014
07-11-2013,448.83,452.48,441.25,442.98,306909,11378
08-11-2013,440.5,442.98,436.1,437.75,307482,12161
11-11-2013,437.5,441.25,430.43,431.85,332589,13417
12-11-2013,432.28,435.73,425,426.13,287268,17354
13-11-2013,425.5,430.7,422,422.68,272668,13185
14-11-2013,425.98,432,425.2,425.88,228089,11382
18-11-2013,428.18,438,428.18,437.18,437724,14605
19-11-2013,437.63,442.2,437,438.35,275628,8919
20-11-2013,436.13,441.35,428.63,431.75,305053,10391
21-11-2013,430.3,430.5,422.63,424.05,258819,11713
22-11-2013,425.53,428.08,420.05,421.95,278376,11915
25-11-2013,423.5,428.4,422.4,425.68,223887,10898
26-11-2013,426,428.63,420,421.03,332165,15778
27-11-2013,422.95,424.88,418,418.98,307556,13213
28-11-2013,423,427.9,421.65,424.13,248227,13605
29-11-2013,426.03,428.48,424.78,426.55,246510,10883
02-12-2013,426.38,431.4,426.25,427.45,249070,11737
03-12-2013,426.78,432.73,425.58,430.95,406056,12834
04-12-2013,430.75,433.63,426.9,428.15,224595,8779
05-12-2013,434,438.5,433.63,434.93,442830,19123
06-12-2013,434.78,437.2,431,433.63,171022,7886
09-12-2013,440.5,444,438.28,439.25,336279,12435
10-12-2013,439.85,444,439.5,441.78,237472,10204
11-12-2013,441.5,441.83,436.1,440.5,185727,6979
12-12-2013,439.38,439.98,434.4,435.2,185809,8352
13-12-2013,433.7,433.9,429.2,431.68,158944,7259
16-12-2013,430.1,430.75,421.13,422.2,457390,11633
17-12-2013,424.15,426.35,418.13,419.48,168492,8584
18-12-2013,419.5,430.93,419.5,429.33,240475,11277
19-12-2013,431.68,432.35,422.55,427.28,374889,13175
20-12-2013,437,448.35,431.15,446.83,650763,25209
23-12-2013,448.58,454.18,445.25,447.7,471167,18602
24-12-2013,447.58,452.25,447.43,448.08,202428,8084
26-12-2013,447.5,448.7,441,443.85,231068,11438
27-12-2013,444,446.53,438.7,439.35,198528,9817
30-12-2013,441,444.7,438,442.7,248562,9475
31-12-2013,443.05,449,443.05,447.4,192847,8082
01-01-2014,448.38,449,443.6,444.35,129272,5540
02-01-2014,445,447.9,435.5,437.68,190974,7696
03-01-2014,435.1,436.73,428.2,432.5,280060,16118
06-01-2014,432,432,425.68,427.45,237379,10323
07-01-2014,427.75,429.88,420.1,421.08,300307,14004
08-01-2014,422.7,428.25,422.3,424.13,216715,9333
09-01-2014,425,426.55,422.48,425.28,229110,9884
10-01-2014,424.23,437.35,424.23,428.45,429346,17873
13-01-2014,432.55,440.78,432.55,439.5,318041,14249
14-01-2014,438.68,442.4,436.4,440.55,227410,10199
15-01-2014,440,447.45,440,442.7,275537,13175
16-01-2014,444.85,445.98,441,442.58,179210,8782
17-01-2014,444.5,448.4,440.38,442.28,300986,14436
20-01-2014,442.28,444.43,433.1,434.75,388776,20013
21-01-2014,436.63,437.4,431.43,432.03,210843,9501
22-01-2014,431.3,437.85,429.5,436.1,216662,10424
23-01-2014,430.5,435.5,430.5,433.03,171189,8817
24-01-2014,431.6,437.25,431.18,433.5,224954,12885
27-01-2014,428.35,430.28,420.05,421.4,235405,10589
28-01-2014,423,427.5,422.1,422.9,165516,8121
29-01-2014,425.5,426,417.55,418.38,178722,10253
30-01-2014,415.95,417.1,411.5,412.85,234420,11953
31-01-2014,414.5,416.9,413.55,415.43,183084,8647
03-02-2014,414.5,414.7,410,410.65,132722,6308
04-02-2014,407.5,413.13,406.63,411,211151,9749
05-02-2014,411.5,411.5,404,408.08,291700,13568
06-02-2014,410.08,412,404.5,407.93,241344,10834
07-02-2014,412.3,412.3,405.7,407.15,229640,10175
10-02-2014,408,412.8,405.95,410.8,183869,9781
11-02-2014,411.83,412.13,401.5,402.75,291076,13390
12-02-2014,403.5,410.93,403.5,408.73,250224,11565
13-02-2014,409,409.38,402.88,403.73,158794,7318
14-02-2014,405.18,411.45,404.5,410.75,171161,8971
17-02-2014,410.45,411.08,403.8,405.73,174227,7385
18-02-2014,404.85,408.95,404.5,406.38,442705,6463
19-02-2014,406.8,409.98,405.25,406.28,135824,6664
20-02-2014,405.5,406.88,401.7,402.68,186495,7732
21-02-2014,404,407.98,403.1,405.65,161023,7265
24-02-2014,405,407.25,402.88,406.2,177349,7359
25-02-2014,407.28,408.13,403.9,405.2,160983,8467
26-02-2014,406.38,408.25,404.13,405.28,168039,6482
28-02-2014,405.98,407,397,399.63,329037,14616
03-03-2014,400,403,399,401.75,245230,10675
04-03-2014,402,408.28,401.5,407.3,287177,9991
05-03-2014,407.95,408.93,402.5,403.45,193440,10523
06-03-2014,404.68,412.2,404.68,411,256000,12331
07-03-2014,412.5,436.9,412.5,434.5,792232,36351
10-03-2014,432.35,451.2,431.5,442.9,924275,31686
11-03-2014,442.35,443.95,436.3,437.48,264306,11305
12-03-2014,436.58,441.18,433.55,435.58,197819,8984
13-03-2014,437.03,447.4,436.95,439.55,562055,26661
14-03-2014,436,444.95,434.88,443.05,240035,9797
18-03-2014,445,454.4,444.4,447.68,501653,19949
19-03-2014,449.5,454.95,447.78,451.08,283164,12903
20-03-2014,451.3,453.35,449,452.85,276617,9759
21-03-2014,453.13,456.85,441.28,442.88,335182,14624
22-03-2014,443.68,445.5,442,444.15,29279,1288
24-03-2014,446,454,446,452.3,352885,14510
25-03-2014,439.5,441.48,436.3,439.33,560413,14431
26-03-2014,440.9,451.33,440.9,445.1,368133,15068
27-03-2014,447.5,452.23,446.38,451.08,1072201,10170
28-03-2014,449.8,459.65,449.8,457.08,484239,17752
31-03-2014,458.63,469.65,457.05,464.75,407524,17255
01-04-2014,467.53,472.18,465.05,470.58,497647,16893
02-04-2014,472.5,479.9,469.28,478.48,499556,19138
03-04-2014,477.8,481.1,470.38,475.98,245107,11632
04-04-2014,475.08,476.3,471.05,472.1,241610,11520
07-04-2014,472,477.45,467.45,472.03,105680,8684
09-04-2014,468.4,482.43,468.4,480.55,264649,14096
10-04-2014,480.6,486.45,480.6,484.4,614665,19359
11-04-2014,483.4,485.3,475.15,476.43,265219,15478
15-04-2014,476.88,476.88,468.48,474.25,971549,12439
16-04-2014,470.1,479.5,469.1,470.53,225536,15067
17-04-2014,472.5,481.4,472.2,479.38,354067,16514
21-04-2014,484.08,485,478,479.73,499487,24616
22-04-2014,480,494.45,478.45,484.18,638261,32046
23-04-2014,485,488.45,482.5,483.43,299956,14502
25-04-2014,483.63,484,472.5,473.7,238728,17431
28-04-2014,473.95,477.7,471.08,472.68,126355,7993
29-04-2014,474,475.9,469.18,470.15,215499,11735
30-04-2014,472.5,480,465,467.65,257319,16699
02-05-2014,470.5,473.65,462.75,464.15,177539,14899
05-05-2014,465,478.83,462.5,472.6,383232,21726
06-05-2014,474,483.5,474,481.63,676041,19281
07-05-2014,481,485.5,478.5,480.38,421824,16920
08-05-2014,481.08,484.98,475.48,479.83,446696,14899
09-05-2014,478.95,499.5,478.35,498.68,656987,41765
12-05-2014,498.73,524,497.5,514.48,1003419,55750
13-05-2014,518.55,532.95,516.43,530.68,1005312,50707
14-05-2014,531.35,533.5,520.78,522.78,465719,25310
15-05-2014,522.5,529.43,520,526.6,487277,23850
16-05-2014,540.58,571.25,531.5,540.25,2062948,117824
19-05-2014,543,562.2,543,560.13,549611,32819
20-05-2014,562.5,565,537.5,539.25,547984,35731
21-05-2014,540,551.33,537,539.05,419241,25928
22-05-2014,542.95,556.75,542.5,550.65,397029,24900
23-05-2014,554.5,565.5,551,563.93,370212,23045
26-05-2014,567.5,570,538.03,550.5,420263,25355
27-05-2014,552.5,553,538.03,543.88,284460,21958
28-05-2014,546.2,553,542.48,544.28,227221,18295
29-05-2014,545.08,546.95,534.58,536.53,210514,14991
30-05-2014,541.58,544.8,531,532.58,221332,14822
02-06-2014,536.58,543.95,532.78,541.18,195238,13331
03-06-2014,543,550.95,538.83,547.38,242467,17690
