DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
19-06-2014,535.63,538,515.93,520.7,700024,45124
20-06-2014,523,524.85,517.6,518.93,319437,20951
23-06-2014,515.08,522.55,512.2,519.35,422613,23431
24-06-2014,523,531.35,523,529.83,311285,23021
25-06-2014,529.3,530,524.3,525.4,227615,13849
26-06-2014,513,513.4,504.05,505.98,611254,40065
27-06-2014,505.35,511.5,503.83,506.53,260952,16682
30-06-2014,506.6,509.7,500.05,507.35,489753,30707
01-07-2014,508,510.5,503.05,504,324423,17256
02-07-2014,509,513.2,505.95,509.1,375278,19276
03-07-2014,509.5,511.5,488.5,503.55,114697,6911
04-07-2014,504.4,518.4,502.08,515.98,391069,22449
07-07-2014,517.45,518.5,510.28,513.2,306674,18619
08-07-2014,513.5,517.23,495.5,497.58,581884,28369
09-07-2014,499.75,504.7,496.53,500.03,373720,20509
10-07-2014,500,510.38,491,499.1,569660,35725
11-07-2014,498.8,500.73,481.93,483.5,607230,37554
14-07-2014,485,487.85,479.5,480.93,325760,22977
15-07-2014,483.8,489.95,481.5,486.1,313436,18163
16-07-2014,487.7,495.75,487.5,494.53,290659,17515
17-07-2014,494.5,498.75,490.1,491.18,230426,16201
18-07-2014,491,492,485.1,488.35,239988,13600
21-07-2014,500,503.88,497.5,498.68,427241,24584
22-07-2014,502.4,517,500.53,515.4,616584,35668
23-07-2014,517.68,519.58,510.13,516.53,322420,24440
24-07-2014,515,521.25,512,520.38,305233,18798
25-07-2014,520,520.93,504,510.88,312250,21377
28-07-2014,511.9,511.9,501.13,502.65,252394,13159
30-07-2014,503.1,505.5,496.5,502.75,260932,15482
31-07-2014,504.5,509.65,501.3,503,230928,13731
01-08-2014,499.2,499.65,488.5,489.23,411936,26560
04-08-2014,490.8,494.7,488.43,492.6,226378,15005
05-08-2014,493,493.6,485.8,491.8,339886,19855
06-08-2014,492.6,498.93,490,493.88,281413,16708
07-08-2014,494.5,498.25,492,494.68,343166,13000
08-08-2014,490.3,491.85,486.55,490.2,376351,15810
11-08-2014,492,493.73,489.28,490.33,299741,9377
12-08-2014,491.5,493,488.1,492.25,160120,9602
13-08-2014,491.98,498.25,490.43,495,352167,14481
14-08-2014,496.18,502.15,496,500.95,225355,14882
18-08-2014,500,507.5,499.05,506.63,181870,11311
19-08-2014,508.2,511.63,503.13,504.35,183861,12408
20-08-2014,505.68,509.2,497.58,499.1,479714,13975
21-08-2014,500,501.88,495.5,497.43,250427,15028
22-08-2014,499.33,503.4,497.7,499,144452,10156
25-08-2014,500,504.3,497,498.18,177533,10984
26-08-2014,498,498.6,492.13,497.03,445035,15698
27-08-2014,499.4,501,494,497.18,197147,10978
28-08-2014,497.5,501.48,497.25,499.63,197341,10236
01-09-2014,501.58,510.3,498.15,507.08,354073,19155
02-09-2014,508.18,515.75,505.58,511.95,310537,19369
03-09-2014,513.5,517.45,510.5,515.48,345680,18705
04-09-2014,514.7,516.78,509.03,512.05,180369,10738
05-09-2014,511.68,516.68,510.4,512.6,193489,11998
08-09-2014,515.28,519.5,499.5,518.73,335716,14908
09-09-2014,517.9,524.95,514.25,516.65,187659,11945
10-09-2014,515,515,506.55,508,157636,9556
11-09-2014,510.25,511.1,504,509.38,151254,13859
